repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
zhayujie/chatgpt-on-wechat,Applications,Bots,24097,15,0.06%,261,1.08%,6606,基于大模型搭建的聊天机器人，同时支持 企业微信、微信 公众号、飞书、钉钉 等接入，可选择GPT3.5/GPT4.0/Claude/文心一言/讯飞星火/通义千问/Gemini/GLM-4/Claude/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,"zhayujie, lanvent, JS00000",58,2022-08-07,2024-01-23,221
stas00/ml-engineering,Tutorials,,9612,15,0.16%,69,0.72%,567,Machine Learning Engineering Open Book,"stas00, Quentin-Anthony, pitmonticone",16,2020-09-02,2024-03-23,0
gpt-engineer-org/gpt-engineer,Applications,Coding,50181,15,0.03%,200,0.40%,6518,"Specify what you want it to build, the AI asks for clarification, and then builds it.","ATheorell, AntonOsika, TheoMcCabe",96,2023-04-29,2024-03-31,0
chroma-core/chroma,Infrastructure,VectorDB,11831,15,0.13%,120,1.01%,979,the AI-native open-source embedding database,"jeffchuber, HammadB, levand",100+,2022-10-05,2024-04-04,31
CompVis/stable-diffusion,Model repo,,64934,15,0.02%,179,0.28%,9792,A latent text-to-image diffusion model,"rromb, pesser, patrickvonplaten",7,2022-08-10,2022-08-22,0
OpenAccess-AI-Collective/axolotl,Model development,Modeling & training,5339,15,0.28%,125,2.34%,593,Go ahead and axolotl questions,"winglian, NanoCode012, tmm1",100+,2023-04-14,2024-02-21,0
Sinaptik-AI/pandas-ai,Applications,Coding,10679,15,0.14%,81,0.76%,945,"Chat with your database (SQL, CSV, pandas, polars, mongodb, noSQL, etc). PandasAI makes data analysis conversational using LLMs (GPT 3.5 / 4, Anthropic, VertexAI) and RAG.","gventuri, ArslanSaleem, mspronesti",71,2023-04-22,2024-04-04,0
mshumer/gpt-prompt-engineer,AI engineering,Prompt engineering,7875,15,0.19%,323,4.10%,540,,"mshumer, vrushankportkey, eltociear",6,2023-07-04,2024-03-22,0
reorproject/reor,Applications,Writing,3987,15,0.38%,0,0.00%,227,Self-organizing AI note-taking app that runs models locally.,"samlhuillier, chuyouchia, uuur86",10,2023-11-27,2024-04-03,13983
bentoml/OpenLLM,Infrastructure,Serving,8568,14,0.16%,53,0.62%,533,Operating LLMs in production,"aarnphm, larme, jianshen92",25,2023-04-19,2024-04-02,9635
hustvl/Vim,Model repo,Multimodal,1776,14,0.79%,104,5.86%,86,Vision Mamba: Efficient Visual Representation Learning with Bidirectional State Space Model,"LegendBC, Unrealluver, JingfengYao",4,2024-01-15,2024-01-19,0
MzeroMiko/VMamba,Model repo,Multimodal,1180,14,1.19%,83,7.03%,59,VMamba: Visual State Space Models，code is based on mamba,"MzeroMiko, sunsmarterjie, neverbiasu",3,2024-01-11,2024-02-02,2700
QwenLM/Qwen1.5,Model repo,,1903,14,0.74%,298,15.66%,98,"Qwen1.5 is the improved version of Qwen, the large language model series developed by Qwen team, Alibaba Cloud.","JustinLin610, bug-orz, huybery",16,2024-02-05,2024-03-31,0
mosaicml/llm-foundry,Model development,Modeling & training,3636,14,0.39%,72,1.98%,457,LLM training code for MosaicML foundation models,"dakinggg, vchiley, abhi-mosaic",74,2023-04-28,2024-04-04,0
qdrant/qdrant,Infrastructure,VectorDB,17560,14,0.08%,124,0.71%,1157,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/","generall, agourlay, timvisee",96,2020-05-30,2024-04-04,16545
Dao-AILab/flash-attention,Model development,Inference optimization,10403,13,0.12%,120,1.15%,898,Fast and memory-efficient exact attention,"tridao, piercefreeman, ksivaman",60,2022-05-19,2024-03-28,472120
AI4Finance-Foundation/FinGPT,Model repo,,11236,13,0.12%,88,0.78%,1602,FinGPT: Open-Source Financial Large Language Models!  Revolutionize 🔥    We release the trained model on HuggingFace.,"BruceYanghy, YangletLiu, oliverwang15",30,2023-02-11,2024-03-25,0
deepset-ai/haystack,AI engineering,AIE framework,13374,13,0.10%,88,0.66%,1600,":mag: LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.","ZanSara, silvanocerza, tholor",100+,2019-11-14,2024-04-04,23
cg123/mergekit,Model development,Modeling & training,3068,13,0.42%,139,4.53%,246,Tools for merging pretrained large language models.,"cg123, nyxkrage, DocShotgun",14,2023-08-21,2024-04-01,0
TransformerOptimus/SuperAGI,AI engineering,Agent,14264,13,0.09%,70,0.49%,1687,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.","TransformerOptimus, NishantBorthakur, Fluder-Paradyne",61,2023-05-13,2024-01-30,0
karpathy/llama2.c,Model development,Inference optimization,14804,13,0.09%,84,0.57%,1612,Inference Llama 2 in one file of pure C,"karpathy, mpcusack-color, atamurad",86,2023-07-23,2024-02-13,0
mlc-ai/mlc-llm,Model development,Inference optimization,16474,13,0.08%,81,0.49%,1255,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices.","MasterJH5574, junrushao, tqchen",99,2023-04-29,2024-04-04,0
lm-sys/FastChat,Model development,Modeling & training,33209,13,0.04%,230,0.69%,4066,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.","merrymercy, infwinston, suquark",100+,2023-03-19,2024-03-31,0
Skyvern-AI/skyvern,Applications,Workflow automation,3219,13,0.40%,111,3.45%,227,Automate browser-based workflows with LLMs and Computer Vision,"suchintan, ykeremy, wintonzheng",7,2024-02-28,2024-04-04,0
NVIDIA/TensorRT,Model development,Inference optimization,8983,12,0.13%,53,0.59%,1958,NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.,"rajeevsrao, kevinch-nv, shuyuelan",69,2019-05-02,2024-04-03,0
homanp/superagent,AI engineering,Agent,4224,12,0.28%,56,1.33%,755,🥷 Run AI-agents with an API,"homanp, elisalimli, dsinghvi",55,2023-05-10,2024-04-03,0
Vaibhavs10/insanely-fast-whisper,Model repo,,6192,12,0.19%,57,0.92%,459,,"Vaibhavs10, patrick91, felixcarmona",19,2023-10-10,2024-03-21,0
vercel/ai,AI engineering,AIE framework,7445,12,0.16%,105,1.41%,955,"Build AI-powered applications with React, Svelte, Vue, and Solid","jaredpalmer, MaxLeiter, lgrammel",100+,2023-05-23,2024-04-04,0
mlc-ai/web-llm,AI engineering,AI interface,8915,12,0.13%,49,0.55%,534,Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.,"CharlieFRuan, MasterJH5574, tqchen",28,2023-04-13,2024-04-03,0
LiheYoung/Depth-Anything,Model repo,,5378,12,0.22%,90,1.67%,383,[CVPR 2024] Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data. Foundation Model for Monocular Depth Estimation,"LiheYoung, 1ssb",2,2024-01-22,2024-02-01,0
HumanAIGC/EMO,Model repo,,6321,12,0.19%,94,1.49%,654,Emote Portrait Alive: Generating Expressive Portrait Videos with Audio2Video Diffusion Model under Weak Conditions,HumanAIGC,1,2024-02-27,1000-01-01,0
MDK8888/GPTFast,Model development,Inference optimization,609,12,1.97%,47,7.72%,57,Accelerate your Hugging Face Transformers 6-8.5x. Native to Hugging Face and PyTorch.,"MDK8888, eltociear",2,2024-02-18,2024-04-02,0
openai/CLIP,Model repo,Multimodal,21742,12,0.06%,127,0.58%,2936,"CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image","jongwook, jiahuei, or-toledano",20,2020-12-16,2023-07-08,0
mikeroyal/Self-Hosting-Guide,Tutorials,,8322,12,0.14%,89,1.07%,425,"Self-Hosting Guide. Learn all about  locally hosting (on premises & private web servers) and managing software applications by yourself or your organization. Including Cloud, LLMs, WireGuard, Automation, Home Assistant, and Networking.","mikeroyal, Antoine-lb, bsamadi",13,2022-02-06,2024-02-11,0
josStorer/RWKV-Runner,AI engineering,AIE framework,4227,11,0.26%,55,1.30%,392,"A RWKV management and startup tool, full automation, only 8MB. And provides an interface compatible with the OpenAI API. RWKV is a large language model that is fully open source and available for commercial use.","josStorer, eltociear, LonghronShen",7,2023-05-05,2024-03-07,35481
liguodongiot/llm-action,Tutorials,,5021,11,0.22%,146,2.91%,473,本项目旨在分享大模型相关技术原理以及实战经验。,liguodongiot,1,2023-05-23,1000-01-01,0
mistralai/mistral-src,Model repo,,8465,11,0.13%,73,0.86%,719,Reference implementation of Mistral AI 7B v0.1 model.,"arthurmensch, timlacroix, infwinston",12,2023-09-27,2023-12-12,0
steven-tey/novel,Applications,Writing,10741,11,0.10%,74,0.69%,874,Notion-style WYSIWYG editor with AI-powered autocompletion.,"steven-tey, andrewdoro, haydenbleasel",39,2023-03-21,2024-03-29,0
facebookresearch/faiss,Infrastructure,VectorDB,27743,11,0.04%,111,0.40%,3358,A library for efficient similarity search and clustering of dense vectors.,"mdouze, beauby, r-barnes",100+,2017-02-07,1000-01-01,0
lllyasviel/ControlNet,Model repo,,27514,11,0.04%,104,0.38%,2500,Let us control diffusion models!,"lllyasviel, eltociear, sethupavan12",6,2023-02-01,2023-04-08,0
labring/FastGPT,AI engineering,AIE framework,11888,11,0.09%,260,2.19%,2948,"FastGPT is a knowledge-based platform built on the LLM, offers out-of-the-box data processing and model invocation capabilities, allows for workflow orchestration through Flow visualization!","c121914yu, yangchuansheng, stakeswky",57,2023-02-23,2024-04-03,0
yoheinakajima/babyagi,AI engineering,Agent,18995,11,0.06%,71,0.37%,2509,,"francip, yoheinakajima, MalikMAlna",82,2023-04-03,2023-09-07,0
facebookresearch/codellama,Model repo,,14164,11,0.08%,67,0.47%,1492,Inference code for CodeLlama models,"jspisak, mpu, jgehring",11,2023-08-24,2023-09-21,0
invoke-ai/InvokeAI,Applications,Image production,21107,11,0.05%,62,0.29%,2207,"InvokeAI is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, supports terminal use through a CLI, and serves as the foundation for multiple commercial products.","psychedelicious, lstein, blessedcoolant",100+,2022-08-17,2024-04-04,152760
levihsu/OOTDiffusion,Model repo,Multimodal,4124,11,0.27%,124,3.01%,577,Official implementation of OOTDiffusion: Outfitting Fusion based Latent Diffusion for Controllable Virtual Try-on,"levihsu, T-Gu",2,2024-01-24,2024-03-08,0
CopilotKit/CopilotKit,AI engineering,AI interface,4075,10,0.25%,38,0.93%,316,"A framework for building custom AI Copilots 🤖 in-app AI chatbots, in-app AI Agents, & AI-powered Textareas.","ataibarkai, mme, CopilotKit",11,2023-06-19,2024-04-04,0
microsoft/unilm,Model development,Modeling & training,18142,10,0.06%,71,0.39%,2347,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities","gitnlp, wolfshow, donglixp",55,2019-07-23,2024-04-04,0
google/gemma.cpp,Model development,Inference optimization,5124,10,0.20%,25,0.49%,445,"lightweight, standalone C++ inference engine for Google's Gemma models.","austinvhuang, jan-wassenberg, dan-zheng",19,2024-02-13,2024-04-04,0
openai/openai-node,AI engineering,AI interface,6773,10,0.15%,38,0.56%,698,The official Node.js / Typescript library for the OpenAI API,"schnerd, athyuttamre, jeevnayak",13,2021-12-14,2024-04-04,0
EleutherAI/lm-evaluation-harness,AI engineering,Evals,4696,10,0.21%,80,1.70%,1224,A framework for few-shot evaluation of language models.,"lintangsutawika, haileyschoelkopf, leogao2",100+,2020-08-28,2024-04-01,0
cpacker/MemGPT,AI engineering,Prompt engineering,8354,10,0.12%,90,1.08%,928,Building persistent LLM agents with long-term memory 📚🦙,"cpacker, sarahwooders, vivi",64,2023-10-11,2024-04-04,0
VainF/Torch-Pruning,Model development,Inference optimization,2239,10,0.45%,27,1.21%,288,[CVPR 2023] Towards Any Structural Pruning; LLMs / SAM /  Diffusion / Transformers / YOLOv8 / CNNs,"VainF, Hyunseok-Kim0, HollyLee2000",14,2019-12-15,2024-03-09,252
huggingface/diffusers,Model development,Modeling & training,22137,10,0.05%,134,0.61%,4545,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch,"patrickvonplaten, sayakpaul, patil-suraj",100+,2022-05-30,2024-04-04,0
ggerganov/ggml,Model development,Inference optimization,9449,10,0.11%,86,0.91%,845,Tensor library for machine learning,"ggerganov, slaren, ikawrakow",100+,2022-09-18,2024-04-03,0
sunner/ChatALL,AI engineering,AI interface,13743,10,0.07%,85,0.62%,1473," Concurrently chat with ChatGPT, Bing Chat, Bard, Alpaca, Vicuna, Claude, ChatGLM, MOSS, 讯飞星火, 文心一言 and more, discover the best answers","sunner, tanchekwei, VenusGirl",38,2023-04-08,2024-04-01,555035
lancedb/lancedb,Infrastructure,VectorDB,2635,10,0.38%,60,2.28%,168,"Developer-friendly, serverless vector database for AI applications. Easily add long-term memory to your LLM apps!","changhiskhan, eddyxu, gsilvestrin",53,2023-02-28,2024-04-04,0
SillyTavern/SillyTavern,AI engineering,AI interface,5574,10,0.18%,99,1.78%,1731,LLM Frontend for Power Users.,"Cohee1207, artisticMink, RossAscends",94,2023-02-09,2024-04-02,9
h2oai/h2ogpt,AI engineering,AIE framework,10218,10,0.10%,61,0.60%,1133,"Private chat with local GPT with document, images, video, etc. 100% private, Apache 2.0. Supports oLLaMa, Mixtral, llama.cpp, and more. Demo: https://gpt.h2o.ai/ https://codellama.h2o.ai/","pseudotensor, arnocandel, achraf-mer",67,2023-03-24,2024-04-03,448
Stability-AI/stablediffusion,Model repo,,35820,10,0.03%,133,0.37%,4631,High-Resolution Image Synthesis with Latent Diffusion Models,"rromb, hardmaru, apolinario",17,2022-11-23,2023-03-24,0
TheR1D/shell_gpt,Applications,Coding,8112,10,0.12%,56,0.69%,634,"A command-line productivity tool powered by AI large language models like GPT-4, will help you accomplish your tasks faster and more efficiently.","TheR1D, eric-glb, cosmojg",23,2023-01-18,2024-04-01,798
OptimalScale/LMFlow,Model development,Modeling & training,7901,9,0.11%,140,1.77%,797,An Extensible Toolkit for Finetuning and Inference of Large Foundation Models. Large Models for All.,"research4pan, shizhediao, hendrydong",28,2023-03-27,2024-04-04,0
CompVis/latent-diffusion,Model repo,,10392,9,0.09%,58,0.56%,1383,High-Resolution Image Synthesis with Latent Diffusion Models,"rromb, crowsonkb, AK391",4,2021-12-20,2022-07-26,0
weaviate/weaviate,Infrastructure,VectorDB,9293,9,0.10%,59,0.63%,618,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.","etiennedi, bobvanluijt, antas-marcin",87,2016-03-30,2024-04-04,177821
langfuse/langfuse,Infrastructure,Monitoring,2672,9,0.34%,85,3.18%,235,"🪢 Open source LLM engineering platform. Observability, metrics, evals, prompt management, testing -- 🍊YC W23 🤖 integrate via Typescript, Python, OpenAI, Langchain, LlamaIndex, Litellm","marcklingen, maxdeichmann, RichardKruemmel",30,2023-05-18,2024-04-04,0
GoogleCloudPlatform/generative-ai,Tutorials,,5154,9,0.17%,50,0.97%,1185,Sample code and notebooks for Generative AI on Google Cloud,"holtskinner, polong-lin, lavinigam-gcp",94,2023-05-05,2024-04-04,0
neuml/txtai,Infrastructure,VectorDB,6865,9,0.13%,65,0.95%,483,"💡 All-in-one open-source embeddings database for semantic search, LLM orchestration and language model workflows","davidmezzetti, saucam, 0206pdh",13,2020-08-09,2024-03-05,8248
huggingface/text-generation-inference,Infrastructure,Serving,7438,9,0.12%,71,0.95%,798,Large Language Model Text Generation Inference,"OlivierDehaene, Narsil, drbh",74,2022-10-08,2024-03-29,0
TheRamU/Fay,AI engineering,AI interface,7761,9,0.12%,91,1.17%,1584,"Fay is an open-source digital human framework integrating language models and digital characters. It offers retail, assistant, and agent versions for diverse applications like virtual shopping guides, broadcasters, assistants, waiters, teachers, and voice or text-based mobile assistants.","xszyou, wangzai23333, TheRamU",4,2022-06-13,2023-05-24,0
reworkd/AgentGPT,AI engineering,Agent,29437,9,0.03%,97,0.33%,9075,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.","asim-shrestha, awtkns, shahrishabh7",69,2023-04-07,2023-06-27,0
tinygrad/tinygrad,Model development,Modeling & training,23479,9,0.04%,150,0.64%,2617,You like pytorch? You like micrograd? You love tinygrad! ❤️ ,"geohot, chenyuxyz, nimlgen",100+,2020-10-18,2024-04-04,0
xenova/transformers.js,AI engineering,AIE framework,6578,9,0.14%,58,0.88%,374,"State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!","xenova, chelouche9, DavidGOrtega",21,2023-02-13,2024-03-26,0
NVIDIA/TensorRT-LLM,Model development,Inference optimization,6226,9,0.14%,95,1.53%,622,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.,"kaiyux, Shixiaowei02, juney-nvidia",10,2023-08-16,2024-04-01,0
sweepai/sweep,Applications,Coding,6968,9,0.13%,45,0.65%,389,Sweep: AI-powered Junior Developer for small features and bug fixes.,"kevinlu1248, wwzeng1, lukejagg",33,2023-06-14,2024-04-04,74
